Date,Time,City,Location,Flood Type/Depth,Passability
2025/08/30,20:16,Quezon City,Commonwealth Bitoon West Bound,Gutter Deep,Passable to all vehicles
2025/08/30,20:16,Quezon City,Araneta Maria Clara NB and SB,Knee Deep,Not passable to light vehicles
2025/08/30,20:16,Quezon City,G. Araneta Ave. E. Rodriguez Intersection,Waist Deep,Not passable to all vehicles
2025/08/30,19:15,Quezon City,EDSA Dario NB,Subsided,
2025/08/30,19:15,Quezon City,EDSA Munoz NB,Subsided,
2025/08/30,19:15,Quezon City,Commonwealth Winston,Knee Deep,Not passable to light vehicles
2025/08/30,19:15,Quezon City,Commonwealth Bitoon West Bound,Knee Deep,Not passable to light vehicles
2025/08/30,19:15,Quezon City,Araneta Maria Clara NB and SB,Knee Deep,Not passable to light vehicles
2025/08/30,19:15,Quezon City,G. Araneta Ave. E. Rodriguez Intersection,Waist Deep,Not passable to all vehicles
2025/08/30,18:48,Quezon City,EDSA Dario NB,Gutter Deep,Passable to all vehicles
2025/08/30,18:48,Quezon City,EDSA Centris service road NB,Subsided,
2025/08/30,18:48,Quezon City,Elliptical road Kalayaan Avenue,Subsided,
2025/08/30,18:48,Quezon City,C5 Katipunan Ateneo NB,Subsided,
2025/08/30,18:48,Quezon City,EDSA Munoz NB,Gutter Deep,Passable to all vehicles
2025/08/30,18:48,Quezon City,Commonwealth Ever EB,Subsided,
2025/08/30,18:48,Quezon City,C5 Katipunan Aurora service road SB,Subsided,
2025/08/30,18:48,Quezon City,EDSA West Avenue SB,Subsided,
2025/08/30,18:48,Quezon City,Commonwealth Winston,Knee Deep,Not passable to light vehicles
2025/08/30,18:48,Quezon City,Edsa Kamuning intersection NB and SB,Subsided,
2025/08/30,18:48,Quezon City,Commonwealth Bitoon West Bound,Knee Deep,Not passable to light vehicles
2025/08/30,18:48,Quezon City,EDSA Mother Ignacia SB,Subsided,
2025/08/30,18:48,Quezon City,Quezon Avenue Lung Center EB and WB,Subsided,
2025/08/30,18:48,Quezon City,C5 Katipunan Garcia SB and NB,Subsided,
2025/08/30,18:48,Quezon City,Commonwealth Dona Carmen WB,Subsided,
2025/08/30,18:48,Quezon City,Araneta Maria Clara NB and SB,Knee Deep,Not passable to light vehicles
2025/08/30,18:48,Quezon City,Quezon Avenue EDSA Tunnel WB and EB,Subsided,
2025/08/30,18:48,Quezon City,G. Araneta Ave. E. Rodriguez Intersection,Waist Deep,Not passable to all vehicles
2025/08/30,17:55,Quezon City,EDSA Dario NB,Gutter Deep,Passable to all vehicles
2025/08/30,17:55,Quezon City,EDSA Centris service road NB,Gutter Deep,Passable to all vehicles
2025/08/30,17:55,Quezon City,Elliptical road Kalayaan Avenue,Knee Deep,Not passable to light vehicles
2025/08/30,17:55,Quezon City,C5 Katipunan Ateneo NB,Knee Deep,Not passable to light vehicles
2025/08/30,17:55,Quezon City,EDSA Munoz NB,Gutter Deep,Passable to all vehicles
2025/08/30,17:55,Quezon City,Commonwealth Ever EB,Above Gutter Deep,Passable to all vehicles
2025/08/30,17:55,Quezon City,C5 Katipunan Aurora service road SB,Knee Deep,Not passable to light vehicles
2025/08/30,17:55,Quezon City,EDSA West Avenue SB,Gutter Deep,Passable to all vehicles
2025/08/30,17:55,Quezon City,Commonwealth Winston,Knee Deep,Not passable to light vehicles
2025/08/30,17:55,Quezon City,Edsa Kamuning intersection NB and SB,Gutter Deep,Passable to all vehicles
2025/08/30,17:55,Quezon City,Commonwealth Bitoon West Bound,Knee Deep,Not passable to light vehicles
2025/08/30,17:55,Quezon City,EDSA Mother Ignacia SB,Knee Deep,Not passable to light vehicles
2025/08/30,17:55,Quezon City,Quezon Avenue Lung Center EB and WB,Above Gutter Deep,Passable to all vehicles
2025/08/30,17:55,Quezon City,C5 Katipunan Garcia SB and NB,Knee Deep,Not passable to light vehicles
2025/08/30,17:55,Quezon City,Commonwealth Dona Carmen WB,Gutter Deep,Passable to all vehicles
2025/08/30,17:55,Quezon City,Araneta Maria Clara NB and SB,Knee Deep,Not passable to light vehicles
2025/08/30,17:55,Quezon City,Commonwealth UP Gym EB,Waist Deep,Not passable to all vehicles
2025/08/30,17:55,Quezon City,Quezon Avenue EDSA Tunnel WB and EB,Waist Deep,Not passable to all vehicles
2025/08/30,16:55,Quezon City,EDSA Dario NB,Gutter Deep,Passable to all vehicles
2025/08/30,16:55,Quezon City,EDSA Centris service road NB,Gutter Deep,Passable to all vehicles
2025/08/30,16:55,Quezon City,Elliptical road Kalayaan Avenue,Knee Deep,Not passable to light vehicles
2025/08/30,16:55,Quezon City,C5 Katipunan Ateneo NB,Knee Deep,Not passable to light vehicles
2025/08/30,16:55,Quezon City,EDSA Balintawak NB,Subsided,
2025/08/30,16:55,Quezon City,EDSA Munoz NB,Gutter Deep,Passable to all vehicles
2025/08/30,16:55,Quezon City,Commonwealth Ever EB,Above Gutter Deep,Passable to all vehicles
2025/08/30,16:55,Quezon City,C5 Katipunan Aurora service road SB,Knee Deep,Not passable to light vehicles
2025/08/30,16:55,Quezon City,EDSA West Avenue SB,Gutter Deep,Passable to all vehicles
2025/08/30,16:55,Quezon City,Commonwealth Winston,Knee Deep,Not passable to light vehicles
2025/08/30,16:55,Quezon City,Commonwealth Technohub WB,Subsided,
2025/08/30,16:55,Quezon City,Edsa Kamuning intersection NB and SB,Gutter Deep,Passable to all vehicles
2025/08/30,16:55,Quezon City,Commonwealth Bitoon West Bound,Knee Deep,Not passable to light vehicles
2025/08/30,16:55,Quezon City,EDSA Mother Ignacia SB,Knee Deep,Not passable to light vehicles
2025/08/30,16:55,Quezon City,Quezon Avenue Lung Center EB and WB,Above Gutter Deep,Passable to all vehicles
2025/08/30,16:55,Quezon City,C5 Katipunan Garcia SB and NB,Knee Deep,Not passable to light vehicles
2025/08/30,16:55,Quezon City,Commonwealth Dona Carmen WB,Gutter Deep,Passable to all vehicles
2025/08/30,16:55,Quezon City,Araneta Maria Clara NB and SB,Knee Deep,Not passable to light vehicles
2025/08/30,16:55,Quezon City,Commonwealth UP Gym EB,Waist Deep,Not passable to all vehicles
2025/08/30,16:55,Quezon City,Quezon Avenue EDSA Tunnel WB and EB,Waist Deep,Not passable to all vehicles
2025/08/30,16:38,Quezon City,Luzon Ave. C5 Ext.,Subsided,
2025/08/30,16:38,Quezon City,EDSA Dario NB,Gutter Deep,Passable to all vehicles
2025/08/30,16:38,Quezon City,EDSA Centris service road NB,Gutter Deep,Passable to all vehicles
2025/08/30,16:38,Quezon City,EDSA North Avenue NB,Subsided,
2025/08/30,16:38,Quezon City,Elliptical road Kalayaan Avenue,Knee Deep,Not passable to light vehicles
2025/08/30,16:38,Quezon City,C5 Katipunan Ateneo NB,Knee Deep,Not passable to light vehicles
2025/08/30,16:38,Quezon City,EDSA Balintawak NB,Gutter Deep,Passable to all vehicles
2025/08/30,16:38,Quezon City,EDSA Munoz NB,Gutter Deep,Passable to all vehicles
2025/08/30,16:38,Quezon City,Commonwealth Ever EB,Above Gutter Deep,Passable to all vehicles
2025/08/30,16:38,Quezon City,C5 Katipunan Aurora service road SB,Knee Deep,Not passable to light vehicles
2025/08/30,16:38,Quezon City,EDSA West Avenue SB,Gutter Deep,Passable to all vehicles
2025/08/30,16:38,Quezon City,Commonwealth Winston,Knee Deep,Not passable to light vehicles
2025/08/30,16:38,Quezon City,Commonwealth Technohub WB,Knee Deep,Not passable to light vehicles
2025/08/30,16:38,Quezon City,Edsa Kamuning intersection NB and SB,Gutter Deep,Passable to all vehicles
2025/08/30,16:38,Quezon City,Commonwealth Bitoon West Bound,Knee Deep,Not passable to light vehicles
2025/08/30,16:38,Quezon City,EDSA Mother Ignacia SB,Knee Deep,Not passable to light vehicles
2025/08/30,16:38,Quezon City,Quezon Avenue Lung Center EB and WB,Above Gutter Deep,Passable to all vehicles
2025/08/30,16:38,Quezon City,C5 Katipunan Garcia SB and NB,Knee Deep,Not passable to light vehicles
2025/08/30,16:38,Quezon City,Commonwealth Dona Carmen WB,Gutter Deep,Passable to all vehicles
2025/08/30,16:38,Quezon City,Araneta Maria Clara NB and SB,Knee Deep,Not passable to light vehicles
2025/08/30,16:38,Quezon City,Commonwealth UP Gym EB,Waist Deep,Not passable to all vehicles
2025/08/30,16:38,Quezon City,Quezon Avenue EDSA Tunnel WB and EB,Waist Deep,Not passable to all vehicles
2025/08/30,16:01,Quezon City,EDSA Dario NB,Gutter Deep,Passable to all vehicles
2025/08/30,16:01,Quezon City,EDSA Centris service road NB,Gutter Deep,Passable to all vehicles
2025/08/30,16:01,Quezon City,EDSA North Avenue NB,Gutter Deep,Passable to all vehicles
2025/08/30,16:01,Quezon City,Elliptical road Kalayaan Avenue,Gutter Deep,Passable to all vehicles
2025/08/30,16:01,Quezon City,C5 Katipunan Ateneo NB,Above Gutter Deep,Passable to all vehicles
2025/08/30,16:01,Quezon City,EDSA Balintawak NB,Above Gutter Deep,Passable to all vehicles
2025/08/30,16:01,Quezon City,EDSA Munoz NB,Above Gutter Deep,Passable to all vehicles
2025/08/30,16:01,Quezon City,Commonwealth Ever EB,Above Gutter Deep,Passable to all vehicles
2025/08/30,16:01,Quezon City,C5 Katipunan Ateneo NB,Knee Deep,Not passable to light vehicles
2025/08/30,16:01,Quezon City,C5 Katipunan Aurora service road SB,Knee Deep,Not passable to light vehicles
2025/08/30,16:01,Quezon City,Edsa West Avenue SB,Gutter Deep,Passable to all vehicles
2025/08/30,16:01,Quezon City,Commonwealth Winston,Knee Deep,Not passable to light vehicles
2025/08/30,16:01,Quezon City,Commonwealth Technohub WB,Knee Deep,Not passable to light vehicles
2025/08/30,16:01,Quezon City,Edsa Kamuning intersection NB and SB,Gutter Deep,Passable to all vehicles
2025/08/30,16:01,Quezon City,Commonwealth Batasan,Gutter Deep,Passable to all vehicles
2025/08/30,16:01,Quezon City,Commonwealth Bitoon West Bound,Knee Deep,Not passable to light vehicles
2025/08/30,16:01,Quezon City,EDSA Mother Ignacia SB,Knee Deep,Not passable to light vehicles
2025/08/30,16:01,Quezon City,Quezon Avenue Lung Center EB and WB,Above Gutter Deep,Passable to all vehicles
2025/08/30,16:01,Quezon City,C5 Katipunan Garcia SB and NB,Knee Deep,Not passable to light vehicles
2025/08/30,16:01,Quezon City,Commonwealth Dona Carmen WB,Gutter Deep,Passable to all vehicles
2025/08/30,16:01,Quezon City,Araneta Maria Clara NB and SB,Knee Deep,Not passable to light vehicles
2025/08/30,16:01,Quezon City,Commonwealth UP Gym EB,Waist Deep,Not passable to all vehicles
2025/08/30,15:20,Quezon City,EDSA Dario NB,Gutter Deep,Passable to all vehicles
2025/08/30,15:20,Quezon City,EDSA Centris service road NB,Gutter Deep,Passable to all vehicles
2025/08/30,15:20,Quezon City,EDSA North Avenue NB,Gutter Deep,Passable to all vehicles
2025/08/30,15:20,Quezon City,Elliptical road Kalayaan Avenue,Gutter Deep,Passable to all vehicles
2025/08/30,15:20,Quezon City,C5 Katipunan Ateneo NB,Above Gutter Deep,Passable to all vehicles
2025/08/30,15:20,Quezon City,EDSA Balintawak NB,Above Gutter Deep,Passable to all vehicles
2025/08/30,15:20,Quezon City,EDSA Munoz NB,Above Gutter Deep,Passable to all vehicles
2025/08/30,15:20,Quezon City,Commonwealth Ever EB,Above Gutter Deep,Passable to all vehicles
2025/08/30,15:20,Quezon City,C5 Katipunan Ateneo NB,Knee Deep,Not passable to light vehicles
2025/08/30,15:20,Quezon City,C5 Katipunan Aurora service road SB,Knee Deep,Not passable to light vehicles
2025/08/30,15:20,Quezon City,Edsa West Avenue SB,Gutter Deep,Passable to all vehicles
2025/08/30,15:20,Quezon City,Commonwealth Winston,Knee Deep,Not passable to light vehicles
2025/08/30,15:20,Quezon City,Commonwealth Technohub WB,Knee Deep,Not passable to light vehicles
2025/08/30,15:20,Quezon City,Edsa Kamuning intersection NB and SB,Gutter Deep,Passable to all vehicles
2025/08/30,15:20,Quezon City,Commonwealth Batasan,Gutter Deep,Passable to all vehicles
2025/08/30,15:20,Quezon City,Commonwealth Bitoon West Bound,Knee Deep,Not passable to light vehicles
2025/08/30,15:03,Quezon City,EDSA Dario NB,Gutter Deep,Passable to all vehicles
2025/08/30,15:03,Quezon City,EDSA Centris service road NB,Gutter Deep,Passable to all vehicles
2025/08/30,15:03,Quezon City,EDSA North Avenue NB,Gutter Deep,Passable to all vehicles
2025/08/30,15:03,Quezon City,Elliptical road Kalayaan Avenue,Gutter Deep,Passable to all vehicles
2025/08/30,15:03,Quezon City,C5 Katipunan Ateneo NB,Above Gutter Deep,Passable to all vehicles
2025/08/30,15:03,Quezon City,EDSA Balintawak NB,Above Gutter Deep,Passable to all vehicles
2025/08/30,15:03,Quezon City,EDSA Munoz NB,Above Gutter Deep,Passable to all vehicles
2025/08/30,15:03,Quezon City,Commonwealth Ever EB,Above Gutter Deep,Passable to all vehicles
2025/08/30,15:03,Quezon City,C5 Katipunan Aurora service road SB,Knee Deep,Not passable to light vehicles
2025/08/30,14:49,Quezon City,EDSA Dario NB,Gutter Deep,Passable to all vehicles
2025/08/30,14:49,Quezon City,EDSA Centris service road NB,Gutter Deep,Passable to all vehicles
2025/08/30,14:49,Quezon City,EDSA North Avenue NB,Gutter Deep,Passable to all vehicles
2025/08/30,14:49,Quezon City,Elliptical road Kalayaan Avenue,Gutter Deep,Passable to all vehicles
2025/08/30,14:49,Quezon City,C5 Katipunan Ateneo NB,Above Gutter Deep,Passable to all vehicles
2025/08/30,14:49,Quezon City,EDSA Balintawak NB,Above Gutter Deep,Passable to all vehicles
2025/08/30,14:49,Quezon City,EDSA Muñoz NB,Above Gutter Deep,Passable to all vehicles
2025/08/28,20:44,Valenzuela City,McArthur Highway Dalandanan near BDO Wilcon,Knee Deep,Not passable to light vehicles
2025/08/28,20:44,Malabon City,Gov. Pascual ave.  Brgy. Catmon,Subsided,
2025/08/28,17:15,Quezon City,C3 A. Bonifacio Int.,Above Gutter Deep,Passable to all vehicles
2025/08/28,17:15,Caloocan City,Samson Rd. cor. Lapu lapu St.,Gutter Deep,Passable to all vehicles
2025/08/28,17:15,Caloocan City,C3 NLEX Connector,Gutter Deep,Passable to all vehicles
2025/08/28,17:15,Caloocan City,Samson Rd. UE,Gutter Deep,Passable to all vehicles
2025/08/28,17:15,Caloocan City,McArthur Highway Calle Uno NB,Gutter Deep,Passable to all vehicles
2025/08/28,17:15,Valenzuela City,McArthur Highway Dalandanan near BDO Wilcon,Gutter Deep,Passable to all vehicles
2025/08/28,16:44,Quezon City,C3 A. Bonifacio Int.,Above Gutter Deep,Passable to all vehicles
2025/08/28,16:44,Caloocan City,Samson Rd. cor. Lapu lapu St.,Gutter Deep,Passable to all vehicles
2025/08/28,16:44,Caloocan City,C3 NLEX Connector,Gutter Deep,Passable to all vehicles
2025/08/28,16:44,Caloocan City,Samson Rd. UE,Gutter Deep,Passable to all vehicles
2025/08/28,16:44,Caloocan City,McArthur Highway Calle Uno NB,Gutter Deep,Passable to all vehicles
2025/08/27,19:35,Quezon City,EDSA Aurora Tunnel,Subsided,
2025/08/27,19:35,Quezon City,EDSA Santolan Service Road NB,Subsided,
2025/08/27,19:35,Quezon City,EDSA Central terminal NB (after Quezon ave. flyover),Subsided,
2025/08/27,19:35,Mandaluyong City,EDSA Shaw Tunnel NB,Gutter Deep,Passable to all vehicles
2025/08/27,19:35,Mandaluyong City,EDSA Ortigas SB,Subsided,
2025/08/27,19:18,Quezon City,EDSA Aurora Tunnel,Gutter Deep,Passable to all vehicles
2025/08/27,19:18,Quezon City,EDSA Santolan Service Road NB,Gutter Deep,Passable to all vehicles
2025/08/27,19:18,Quezon City,EDSA Central terminal NB (after Quezon ave. flyover),Gutter Deep,Passable to all vehicles
2025/08/27,19:18,Quezon City,EDSA Santolan Service Road NB,Gutter Deep,Passable to all vehicles
2025/08/27,19:18,Mandaluyong City,EDSA Shaw Tunnel NB,Gutter Deep,Passable to all vehicles
2025/08/27,19:18,Mandaluyong City,EDSA Ortigas SB,Gutter Deep,Passable to all vehicles
2025/08/24,16:43,Mandaluyong City,EDSA Shaw tunnel NB,Above Gutter Deep,Passable to all vehicles
2025/08/24,16:43,Manila City,Quirino Station (Walk Way),Gutter Deep,Passable to all vehicles
2025/08/24,16:43,Manila City,Roxas Pedro Gil service road NB,Gutter Deep,Passable to all vehicles
2025/08/24,16:43,Manila City,Quirino Station (Facing V. Cruz),Subsided,
2025/08/24,16:43,Manila City,España Blvd. Dela Fuente intersection,Subsided,
2025/08/24,16:43,Manila City,Taft Ave NBI,Subsided,
2025/08/24,16:00,Mandaluyong City,EDSA Shaw tunnel NB,Above Gutter Deep,Passable to all vehicles
2025/08/24,16:00,Manila City,Taft Ave NBI,Gutter Deep,Passable to all vehicles
2025/08/24,16:00,Manila City,Quirino Station (Walk Way),Gutter Deep,Passable to all vehicles
2025/08/24,16:00,Manila City,Quirino Station (Facing V. Cruz),Gutter Deep,Passable to all vehicles
2025/08/24,16:00,Manila City,España Blvd. Dela Fuente intersection,Gutter Deep,Passable to all vehicles
2025/08/24,14:50,Mandaluyong City,EDSA Ortigas intersection SB,Gutter Deep,Passable to all vehicles
2025/08/24,14:50,Mandaluyong City,EDSA Ortigas after flyover,Gutter Deep,Passable to all vehicles
2025/08/24,14:50,Quezon City,EDSA Aurora tunnel NB,Gutter Deep,Passable to all vehicles
2025/08/24,14:50,Quezon City,EDSA after Kamuning intersection,Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Pasay City,Andrews Ave – Tramo WB,Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,Roxas Boulevard – Quirino Ave. intersection,Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,Roxas Boulevard – U.N. Service Road,Above Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,Gate of Manila City Hall (SM Side),Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,Leveriza corner Quirino Avenue,Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,Taft Avenue – Quirino Avenue intersection,Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,In front of Ospital ng Maynila,Half Tire Deep,Not passable to light vehicles
2025/08/22,15:00,Manila City,Taft Avenue – Nakpil St.,Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,In front of PCU,Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,Pedro Gil – Taft Ave. corner,Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,Pedro Gil – in front of PGH,Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,PNU Taft,Knee Deep,Not passable to light vehicles
2025/08/22,15:00,Manila City,Padre Faura to Intersection,Knee Deep,Not passable to light vehicles
2025/08/22,15:00,Manila City,PNU to Ayala,Knee Deep,Not passable to light vehicles
2025/08/22,15:00,Manila City,Taft Ave. – in front of Adamson (to Kalaw),Knee Deep,Not passable to light vehicles
2025/08/22,15:00,Manila City,Manila City Hall to San Marcelino,Tire Deep,Not passable to all vehicles
2025/08/22,15:00,Manila City,Taft Ave. – Padre Faura,Half Tire Deep,Not passable to light vehicles
2025/08/22,15:00,Manila City,Quirino Avenue southbound,Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,Pedro Gil (Walkway),Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,Taft Avenue (NBI),Knee Deep,Not passable to light vehicles
2025/08/22,15:00,Manila City,Taft NBI parking (in front of Adamson to Kalaw),Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,Quirino Station (Facing V. Cruz),Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,Quirino Station (Walkway),Half Tire Deep,Not passable to light vehicles
2025/08/22,15:00,Manila City,Padre Faura to Intersection,Half Tire Deep,Not passable to light vehicles
2025/08/22,15:00,Manila City,Kalaw facing Taft,Half Tire Deep,Not passable to light vehicles
2025/08/22,15:00,Manila City,In front of Manila City Hall,Half Tire Deep,Not passable to light vehicles
2025/08/22,15:00,Manila City,In front of Kartilya ng Katipunan,Half Tire Deep,Not passable to light vehicles
2025/08/22,15:00,Manila City,Taft to Underpass,Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,Villegas to City Hall,Gutter Deep,Passable to all vehicles
2025/08/22,15:00,Manila City,Taft to Shrine,Half Tire Deep,Not passable to light vehicles
2025/08/22,14:51,Pasay City,Roxas–Kalaw northbound/southbound,Subsided,
2025/08/22,14:51,Pasay City,Roxas–Kalaw Service Road,Subsided,
2025/08/16,13:26,Pasay City,Roxas EDSA Service Road NB,Gutter Deep,Passable to all vehicles
